,Company,TypeName,CPU_Frequency (GHz),RAM (GB),GPU_Company,Weight (kg),Price (Euro),Touchscreen,Ips,ppi,CPU,CPU_Tier,HDD,SSD,GPU_Tier,OS
333,Lenovo,Notebook,2.0,4,Intel,1.85,449.0,0,0,141.21199808219862,Core i3,2,1000,0,2,Windows
334,Asus,Gaming,2.8,8,Nvidia,2.5,999.0,0,0,141.21199808219862,Core i7,4,0,256,3,Windows
335,HP,Notebook,2.6,8,Intel,1.48,1268.0,0,0,157.3505121487356,Core i5,3,0,256,2,Windows
336,Dell,Ultrabook,1.6,8,Nvidia,1.9,1049.0,0,1,141.21199808219862,Core i5,3,1000,128,2,Windows
337,HP,Notebook,2.5,8,Intel,1.84,1144.0,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
338,Asus,Notebook,1.1,4,Intel,2.0,274.99,0,0,100.45466986113651,Celeron,1,1000,0,2,Other
339,Dell,Notebook,1.6,8,Nvidia,2.0,1142.75,0,0,141.21199808219862,Core i5,3,0,256,2,Windows
340,Dell,Notebook,1.6,4,Intel,2.2,274.9,0,0,100.45466986113651,Celeron,1,500,0,2,Other
341,Lenovo,Notebook,3.6,12,AMD,2.2,899.0,0,0,141.21199808219862,A12-Series,1,2000,0,2,Windows
342,HP,Notebook,2.4,8,Nvidia,2.1,716.0,0,1,141.21199808219862,Core i3,2,1000,0,2,Windows
343,Lenovo,2 in 1 Convertible,1.8,16,Intel,1.4,2099.0,1,1,316.96506044349616,Core i7,4,0,512,2,Windows
344,Dell,Ultrabook,1.8,8,Intel,1.2,1579.0,0,0,165.6321180513006,Core i7,4,0,256,2,Windows
345,Lenovo,Gaming,2.8,16,Nvidia,2.4,1129.0,0,1,141.21199808219862,Core i7,4,2000,256,3,Windows
346,HP,Notebook,1.6,2,Intel,1.44,279.0,0,0,111.93520355955211,Celeron,1,0,0,2,Windows
347,Dell,Ultrabook,1.9,16,Intel,1.88,1607.96,0,0,141.21199808219862,Core i7,4,0,768,2,Windows
